0,4.763641691,19.43203969,1.538684277,1.695896976
1,4.858462919,19.43474659,1.667115233,1.542083015
2,4.953257478,19.4375067,1.579755115,1.734705924
3,5.04802486,19.44032,1.711864966,1.707911773
4,5.142764558,19.44318647,1.711864966,1.786862695
5,5.237476067,19.44610608,1.626728896,1.849895153
7,5.426812499,19.45210464,1.533883602,1.979995696
8,5.521436415,19.45518354,1.579426445,1.945751538
9,5.616030128,19.45831549,1.673384454,1.951399048
10,5.710593137,19.46150046,1.632182476,1.822351161
11,5.805124943,19.46473842,1.639665789,1.903104392
12,5.805124943,19.46473842,1.61192745,1.767917101
13,5.994092949,19.47137322,1.750421063,2.041170823
14,6.088528154,19.47477,1.648360171,2.0281588
15,6.182930166,19.47821967,1.648360171,2.282664795
16,6.182930166,19.47821967,1.705919414,2.656642205
17,6.371632631,19.48527756,1.705919414,0.490059705
18,6.465932099,19.48888572,1.556412368,1.701922892
19,6.465932099,19.48888572,1.547892573,1.932600211
20,6.654425046,19.49626033,1.607978576,1.9950844
21,6.654425046,19.49626033,1.60118361,1.714650315
22,6.748617546,19.50002671,1.667089605,2.072109362
23,6.842773413,19.50384577,1.698129078,2.024333884
24,6.936892159,19.50771749,1.565219073,1.942391118
25,7.125016349,19.51561874,1.693930599,2.012348633
26,7.219020825,19.51964822,1.650428798,1.99444043
27,7.312986245,19.52373022,1.664932968,1.976171287
28,7.406912128,19.52786471,1.623756349,2.104620985
29,7.500797996,19.53205165,1.679117349,2.091176147
30,7.500797996,19.53205165,1.69052141,2.043842408
31,7.68844777,19.54058277,1.691033038,2.277248803
32,7.782210724,19.54492688,1.589957395,2.012348018
33,7.782210724,19.54492688,1.696666188,2.108818961
34,7.875931757,19.5493233,1.678235693,2.186988599
35,7.969610394,19.55377201,1.660234105,2.069319669
36,8.063246166,19.55827297,1.694727351,2.235040329
37,8.250387229,19.56743149,1.695489545,2.138137932
38,8.343891584,19.57208897,1.633366517,2.243358444
39,8.343891584,19.57208897,1.590434012,2.248358949
40,8.53076561,19.5815602,1.759293162,2.307444747
41,8.53076561,19.5815602,1.629651575,2.194313839
42,8.624134352,19.58637388,1.66500147,2.348946257
43,8.717456965,19.59123954,1.724893708,2.338345596
44,8.903961957,19.60112667,1.527626869,2.881261234
