time,p time,p x,p y,x,y,z,,
1719524918,0.718097425,-0.687012771,-1.137169443,1.344968557,-0.720633388,0.341432691,,2
1719524918,0.750114026,-0.749677604,-1.198464619,1.316783905,-0.727695346,0.378412843,,3
1719524918,0.805969014,-0.951505807,-1.323835832,1.28948164,-0.7369591,0.420302927,,4
1719524918,0.845878627,-1.067039171,-1.436329954,1.263285995,-0.747542858,0.464846373,,5
1719524918,0.867500801,-1.089256252,-1.516318164,1.238945961,-0.758504391,0.509694338,,6
1719524918,0.88386817,-1.096676865,-1.610021158,1.217353225,-0.772081733,0.552422583,,7
1719524918,0.895454341,-1.115930733,-1.666186477,1.192552567,-0.782247782,0.596936345,,8
1719524918,0.901440578,-1.130773087,-1.695472049,1.168156147,-0.791602969,0.639421821,,9
1719524918,0.903785796,-1.140161524,-1.718241143,1.144292355,-0.802295685,0.68117559,,10
1719524918,0.902955659,-1.140188039,-1.745588911,1.121531248,-0.815232992,0.721341968,,11
1719524918,0.900125252,-1.139937489,-1.768953176,1.097793937,-0.827028751,0.760760188,,12
1719524918,0.895954091,-1.142145983,-1.783280082,1.073355198,-0.837074041,0.799393415,,13
1719524918,0.88970982,-1.137279906,-1.795613187,1.050952435,-0.848796129,0.835040927,,14
1719524918,0.866066124,-1.038481495,-1.76072382,1.049744248,-0.848810792,0.834270895,,15
1719524918,0.848275987,-0.974933793,-1.742835272,1.026710391,-0.861028671,0.870411336,,16
1719524918,0.834263583,-0.934640027,-1.731519157,1.00347054,-0.871096849,0.905596972,,17
1719524918,0.822737356,-0.9101822,-1.728437857,0.980011106,-0.883486748,0.939921141,,18
1719524918,0.812788343,-0.894819905,-1.727640194,0.957529783,-0.89390254,0.97313422,,19
1719524918,0.803887399,-0.886693613,-1.729677163,0.934372842,-0.905298412,1.005492449,,20
1719524918,0.795587682,-0.883257548,-1.731646077,0.91132766,-0.915190518,1.036595941,,21
1719524918,0.787644941,-0.882695924,-1.734552619,0.888592601,-0.926022291,1.06667006,,22
1719524918,0.779654905,-0.883539198,-1.737140924,0.86588192,-0.936215401,1.094467163,,23
1719524918,0.771917927,-0.886305046,-1.741834929,0.842926562,-0.948608398,1.123129845,,24
1719524918,0.763609454,-0.888869213,-1.746132198,0.820066929,-0.959651411,1.150642276,,25
1719524918,0.756528788,-0.893727108,-1.751355212,0.79721719,-0.970889926,1.177049637,,26
1719524918,0.748814403,-0.898038883,-1.754984032,0.775365174,-0.980021179,1.201699376,,27
1719524918,0.741087488,-0.902369315,-1.759191777,0.75319165,-0.991622448,1.226289153,,28
1719524918,0.733201387,-0.906581388,-1.762524514,0.730716884,-1.001454115,1.248896122,,29
1719524918,0.725246644,-0.910873872,-1.766028785,0.708162487,-1.012618423,1.271227121,,30
1719524918,0.717140784,-0.914806115,-1.769537879,0.685972989,-1.023772597,1.291849256,,31
1719524918,0.708889524,-0.918541766,-1.772585253,0.663512111,-1.034127951,1.31140101,,32
1719524918,0.700597196,-0.922113041,-1.775830423,0.641404986,-1.045490146,1.330949664,,33
1719524918,0.692179208,-0.925127053,-1.778546726,0.6197806,-1.055616975,1.348621845,,34
1719524918,0.683127348,-0.927192797,-1.780740125,0.598037243,-1.066127181,1.365721464,,35
1719524918,0.675089101,-0.929890436,-1.783105127,0.57585156,-1.076730847,1.382236838,,36
1719524919,0.666445955,-0.932302887,-1.785185751,0.553919494,-1.087102175,1.39699018,,37
1719524919,0.657716345,-0.934446406,-1.787311973,0.532095373,-1.098240376,1.410870314,,38
1719524919,0.64891187,-0.936310126,-1.789375802,0.510439694,-1.109126091,1.423843622,,39
1719524919,0.640080166,-0.938160351,-1.791606267,0.488377035,-1.12058413,1.436497808,,40
1719524919,0.631142004,-0.939621266,-1.793218604,0.466948032,-1.12994349,1.446874976,,41
1719524919,0.622132938,-0.940446554,-1.794449945,0.446714073,-1.139678717,1.456653237,,42
1719524919,0.613104546,-0.94136043,-1.79567393,0.424676478,-1.150345564,1.466323614,,43
1719524919,0.604026379,-0.942266586,-1.796955344,0.40268448,-1.161385298,1.474431157,,44
1719524919,0.594366865,-0.942499054,-1.797852238,0.381837815,-1.171450377,1.481040955,,45
1719524919,0.585159212,-0.94252681,-1.798629867,0.360884607,-1.181720495,1.486913562,,46
1719524919,0.576433733,-0.942897975,-1.799727565,0.339141905,-1.193132877,1.492337584,,47
1719524919,0.566656189,-0.942736284,-1.800628671,0.318431944,-1.203732729,1.496127248,,48
1719524919,0.557840292,-0.942659865,-1.801283775,0.297620922,-1.212869167,1.499072433,,49
1719524919,0.548495263,-0.9423621,-1.80177167,0.277167618,-1.222715139,1.501237035,,50
1719524919,0.53863076,-0.941927346,-1.802233583,0.255446911,-1.233638406,1.502585173,,51
1719524919,0.529715783,-0.941464576,-1.802534839,0.235149965,-1.242959142,1.502163053,,52
1719524919,0.519798079,-0.940796499,-1.80297587,0.214141101,-1.254612684,1.501807213,,53
1719524919,0.510870933,-0.94040188,-1.803578583,0.19276762,-1.265490532,1.500624657,,54
1719524919,0.501389966,-0.939710016,-1.803955095,0.172878966,-1.275014639,1.496890903,,55
1719524919,0.491882106,-0.938811857,-1.804095799,0.152996495,-1.284152746,1.492875814,,56
1719524919,0.482367024,-0.937843393,-1.804302103,0.132701784,-1.294897079,1.488489628,,57
1719524919,0.472850113,-0.936946676,-1.804565511,0.11163865,-1.305607438,1.483325601,,58
1719524919,0.462820054,-0.935855919,-1.804723692,0.091122255,-1.315847874,1.476392388,,59
1719524919,0.452894868,-0.934507309,-1.804624502,0.071327411,-1.324881554,1.4678756,,60
1719524919,0.444083397,-0.933283546,-1.804751713,0.051399332,-1.336106777,1.459178209,,61
1719524919,0.434233226,-0.932048364,-1.804840505,0.030745089,-1.346315861,1.450027943,,62
1719524919,0.424268339,-0.930574708,-1.804742896,0.011339629,-1.355599761,1.438715458,,63
1719524919,0.414070883,-0.930500663,-1.805761133,-0.025158405,-1.377299309,1.41663146,,64
1719524919,0.405184955,-0.930402461,-1.8066809,-0.045154095,-1.387061357,1.402567983,,65
1719524919,0.395074786,-0.928725181,-1.80643148,-0.048152555,-1.385678649,1.401757836,,66
1719524919,0.385444409,-0.926967099,-1.80605083,-0.067719862,-1.394749641,1.38618505,,67
1719524919,0.375523057,-0.926247449,-1.806681054,-0.103268385,-1.417146444,1.355611324,,68
1719524919,0.365670277,-0.925369443,-1.807166011,-0.122516394,-1.426635027,1.33833766,,69
1719524919,0.355729233,-0.924327476,-1.807592241,-0.141593456,-1.436885834,1.320161819,,70
1719524919,0.345812498,-0.923182223,-1.807947006,-0.160970926,-1.446894646,1.301183105,,71
1719524919,0.33589104,-0.92195648,-1.808180151,-0.180656195,-1.456393242,1.28064239,,72
1719524919,0.325954834,-0.920630027,-1.808272598,-0.200253725,-1.465667248,1.258403063,,73
1719524919,0.316016553,-0.919154586,-1.808389737,-0.21845746,-1.47633481,1.236917853,,74
1719524919,0.30655435,-0.91760961,-1.808460317,-0.23714447,-1.486098766,1.21341145,,75
1719524919,0.296100263,-0.915910491,-1.808395523,-0.255889893,-1.495296955,1.188978672,,76
1719524919,0.286179767,-0.914130425,-1.808294543,-0.274401665,-1.505132914,1.164141893,,77
1719524919,0.276762849,-0.912308483,-1.80822854,-0.292603731,-1.515531063,1.138471365,,78
1719524919,0.266835702,-0.910504758,-1.808072977,-0.312228203,-1.524661541,1.111467004,,79
1719524919,0.256896067,-0.908648648,-1.807834456,-0.331161022,-1.533900738,1.082688808,,80
